Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2004,MISSOURI,"BUSH, GEORGE W.",REPUBLICAN,1455713,2731364,All industry total ,216977.5
2004,MONTANA,"BUSH, GEORGE W.",REPUBLICAN,266063,450434,All industry total ,28138.8
2004,NEBRASKA,"BUSH, GEORGE W.",REPUBLICAN,512814,778186,All industry total ,70445.4
2004,NEVADA,"BUSH, GEORGE W.",REPUBLICAN,418690,829587,All industry total ,104132.0
2004,NEW HAMPSHIRE,"KERRY, JOHN",DEMOCRAT,340511,678287,All industry total ,54545.7
2004,NEW JERSEY,"KERRY, JOHN",DEMOCRAT,1911430,3611691,All industry total ,415490.8
2004,NEW MEXICO,"BUSH, GEORGE W.",REPUBLICAN,376930,756304,All industry total ,70593.4
2004,NEW YORK,"KERRY, JOHN",DEMOCRAT,4180755,7448266,All industry total ,958565.3
2004,NORTH CAROLINA,"BUSH, GEORGE W.",REPUBLICAN,1961166,3501007,All industry total ,329017.7
2004,NORTH DAKOTA,"BUSH, GEORGE W.",REPUBLICAN,196651,312833,All industry total ,23209.6
2004,OHIO,"BUSH, GEORGE W.",REPUBLICAN,2859764,5627903,All industry total ,447813.3
2004,OKLAHOMA,"BUSH, GEORGE W.",REPUBLICAN,959792,1463758,All industry total ,114237.5
2004,OREGON,"KERRY, JOHN",DEMOCRAT,943163,1836782,All industry total ,136495.9
2004,PENNSYLVANIA,"KERRY, JOHN",DEMOCRAT,2938095,5769590,All industry total ,486384.5
2004,RHODE ISLAND,"KERRY, JOHN",DEMOCRAT,259760,437134,All industry total ,42578.2
2004,SOUTH CAROLINA,"BUSH, GEORGE W.",REPUBLICAN,937974,1617700,All industry total ,136679.9
2004,SOUTH DAKOTA,"BUSH, GEORGE W.",REPUBLICAN,232584,388215,All industry total ,29380.9
2004,TENNESSEE,"BUSH, GEORGE W.",REPUBLICAN,1384375,2437319,All industry total ,219862.4
2004,TEXAS,"BUSH, GEORGE W.",REPUBLICAN,4526917,7410749,All industry total ,921230.7
2004,UTAH,"BUSH, GEORGE W.",REPUBLICAN,663742,927844,All industry total ,86766.7
2004,VERMONT,"KERRY, JOHN",DEMOCRAT,184067,312309,All industry total ,22986.3
2004,VIRGINIA,"BUSH, GEORGE W.",REPUBLICAN,1716959,3195415,All industry total ,331815.8
2004,WASHINGTON,"KERRY, JOHN",DEMOCRAT,1510201,2859084,All industry total ,267423.9
2004,WEST VIRGINIA,"BUSH, GEORGE W.",REPUBLICAN,423778,755792,All industry total ,49865.9
2004,WISCONSIN,"KERRY, JOHN",DEMOCRAT,1489504,2997007,All industry total ,216370.4
2004,WYOMING,"BUSH, GEORGE W.",REPUBLICAN,167629,243861,All industry total ,23418.1
2008,ALABAMA,"MCCAIN, JOHN",REPUBLICAN,1266546,2099819,All industry total ,174665.6
2008,ALASKA,"MCCAIN, JOHN",REPUBLICAN,193841,326197,All industry total ,55246.7
2008,ARIZONA,"MCCAIN, JOHN",REPUBLICAN,1230111,2293475,All industry total ,261005.8
2008,ARKANSAS,"MCCAIN, JOHN",REPUBLICAN,638017,1086617,All industry total ,100206.7
2008,CALIFORNIA,"OBAMA, BARACK H.",DEMOCRAT,8274473,13561900,All industry total ,1946241.5
2008,COLORADO,"OBAMA, BARACK H.",DEMOCRAT,1288576,2401361,All industry total ,257606.1
2008,CONNECTICUT,"OBAMA, BARACK H.",DEMOCRAT,997772,1646792,All industry total ,236110.7
2008,DELAWARE,"OBAMA, BARACK H.",DEMOCRAT,255459,412412,All industry total ,55250.8
2008,DISTRICT OF COLUMBIA,"OBAMA, BARACK H.",DEMOCRAT,245800,265853,All industry total ,99240.4
2008,FLORIDA,"OBAMA, BARACK H.",DEMOCRAT,4282074,8390744,All industry total ,767357.8
